scope,city_type_6,metric,kind,family,kl,tvd,best,mean,std,skew,excess_kurt
by_class,dense_block_midrise,path_loss,pred_los,weibull,0.027500,0.076500,0,96.438,4.058,-0.892,0.778
by_class,dense_block_midrise,path_loss,pred_los,skew_normal,0.072300,0.135100,0,96.438,4.058,-0.892,0.778
by_class,dense_block_midrise,path_loss,pred_los,gaussian,0.084000,0.145200,0,96.438,4.058,-0.892,0.778
by_class,dense_block_midrise,path_loss,pred_los,laplace,0.126400,0.196200,0,96.438,4.058,-0.892,0.778
by_class,dense_block_midrise,path_loss,pred_los,gamma,0.153100,0.183600,0,96.438,4.058,-0.892,0.778
by_class,dense_block_midrise,path_loss,pred_los,lognormal,0.203700,0.201800,0,96.438,4.058,-0.892,0.778
by_class,dense_block_midrise,path_loss,pred_los,spike_plus_exp,1.418900,0.707800,0,96.438,4.058,-0.892,0.778
by_class,dense_block_midrise,path_loss,pred_nlos,gmm5,0.009400,0.026400,1,36.138,22.515,0.926,0.311
by_class,dense_block_midrise,path_loss,pred_nlos,gmm4,0.010500,0.026500,0,36.138,22.515,0.926,0.311
by_class,dense_block_midrise,path_loss,pred_nlos,gmm3,0.014400,0.041700,0,36.138,22.515,0.926,0.311
by_class,dense_block_midrise,path_loss,pred_nlos,weibull,0.027200,0.080400,0,36.138,22.515,0.926,0.311
by_class,dense_block_midrise,path_loss,pred_nlos,gmm2,0.028300,0.068700,0,36.138,22.515,0.926,0.311
by_class,dense_block_midrise,path_loss,pred_nlos,gamma,0.028400,0.049200,0,36.138,22.515,0.926,0.311
by_class,dense_block_midrise,path_loss,pred_nlos,skew_normal,0.128700,0.182900,0,36.138,22.515,0.926,0.311
by_class,dense_block_midrise,path_loss,pred_nlos,gaussian,0.141300,0.192900,0,36.138,22.515,0.926,0.311
by_class,dense_block_midrise,path_loss,pred_nlos,spike_plus_exp,0.162400,0.212600,0,36.138,22.515,0.926,0.311
by_class,dense_block_midrise,path_loss,pred_nlos,lognormal,0.162900,0.100200,0,36.138,22.515,0.926,0.311
